AdminName,GeoRegion,GeoSubreg,IncomeGrp,LendCat,VarDesc,UrbanPop,RuralPop,TotalPop,UrbanLA,RuralLA,TotalLA
Madagascar,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,1724.07732557,163108.863273,164832.940598,155.031127959,135483.092343,135638.123471
Malawi,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,15598.2451402,300035.441089,315633.686229,167.315953783,29205.6823566,29372.9983104
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,382930.588901,3045132.46474,3428063.05364,395.340979196,118602.908408,118998.249387
Democratic Republic of the Congo,Africa,Middle Africa,Low income,IDA,Elevation between 5 and 10 meters,437.649050713,5067.67233253,5505.32138325,1.32974246144,182.062557184,183.392299646
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 10 and 25 meters,159280.119246,681615.32465,840895.443896,111.803423166,4448.65047131,4560.45389447
Mali,Africa,Western Africa,Low income,IDA,Elevation between 50 and 100 meters,51.4783317149,8555.82994619,8607.3082779,37.1723530293,11489.1993676,11526.3717206
Democratic Republic of the Congo,Africa,Middle Africa,Low income,IDA,Elevation between 50 and 100 meters,3238.99946094,21831.8489861,25070.8484471,11.7351686358,1613.19355629,1624.92872493
Liberia,Africa,Western Africa,Low income,IDA,Elevation between 25 and 50 meters,2174.62534976,19899.0927963,22073.718146,11.7794614434,5241.43234739,5253.21180883
Eritrea,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,397.826960295,17103.8795648,17501.7065251,121.252482057,16918.4903905,17039.7428725
Ethiopia,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,89816.03617,780776.353815,870592.389985,4705.69942802,364497.874955,369203.574383
Benin,Africa,Western Africa,Low income,IDA,Elevation between 100 and 200 meters,32565.6885518,316616.869518,349182.55807,457.632659853,18677.239058,19134.8717178
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 25 and 50 meters,63408.3296619,130228.502745,193636.832406,676.268086053,43113.8062857,43790.0743718
Haiti,Americas,Caribbean,Low income,IDA,Elevation between 200 and 400 meters,72577.5210609,454955.651478,527533.172539,181.100553393,6817.56134337,6998.66189676
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,31304.1453415,296078.11869,327382.264031,701.658805978,106871.369586,107573.028392
Central African Republic,Africa,Middle Africa,Low income,IDA,Elevation between 200 and 400 meters,10270.0759267,6613.05150072,16883.1274274,145.953306764,26790.7085961,26936.6619029
Chad,Africa,Middle Africa,Low income,IDA,Elevation between 200 and 400 meters,5522.76704939,82737.6938525,88260.4609019,693.151756495,563710.37141,564403.523167
Gambia,Africa,Western Africa,Low income,IDA,Elevation between 5 and 10 meters,873.372910023,2160.64741229,3034.02032231,35.14912186,1249.41274431,1284.56186617
Burkina Faso,Africa,Western Africa,Low income,IDA,Elevation between 400 and 800 meters,301.45642744,3998.13746493,4299.59389237,134.234602988,9032.67821158,9166.91281457
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 5 and 10 meters,1844.02376031,3722.4288714,5566.45263171,62.2524190117,1566.4290278,1628.68144681
Ethiopia,Africa,Eastern Africa,Low income,IDA,Elevation between 50 and 100 meters,0.0678225383162,115.743724391,115.811546929,0.837806165218,2436.19629389,2437.03410006
Eritrea,Africa,Eastern Africa,Low income,IDA,Elevation between 50 and 100 meters,0.215501189232,769.83192225,770.04742344,0.831056237221,4508.28607277,4509.11712901
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,1017.3484726,42848.3421308,43865.6906034,11.6280553937,1183.77065808,1195.39871347
Liberia,Africa,Western Africa,Low income,IDA,Elevation between 800 and 1500 meters,127.103197098,1514.66307974,1641.76627684,5.11868000031,99.7234027386,104.842082739
